  [待轉換] packages\server\data\content\realm-levels.json

===== opencc 字級轉換行 =====
    packages\server\data\content\realm-levels.json: 一境一级 → 一境一級
    packages\server\data\content\realm-levels.json: 飞升段 → 飛昇段
    packages\server\data\content\realm-levels.json: 飞升终境 → 飛昇終境
    packages\server\data\content\realm-levels.json: 凡阶 → 凡階
    packages\server\data\content\realm-levels.json: 黄阶 → 黃階
    packages\server\data\content\realm-levels.json: 玄阶 → 玄階
    packages\server\data\content\realm-levels.json: 地阶 → 地階
    packages\server\data\content\realm-levels.json: 天阶 → 天階
    packages\server\data\content\realm-levels.json: 灵阶 → 靈階
    packages\server\data\content\realm-levels.json: 圣阶 → 聖階
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 凡阶 → 凡階
    packages\server\data\content\realm-levels.json: 尘根未醒 → 塵根未醒
    packages\server\data\content\realm-levels.json: 炼皮 → 煉皮
    packages\server\data\content\realm-levels.json: 炼皮 → 煉皮
    packages\server\data\content\realm-levels.json: 凡阶 → 凡階
    packages\server\data\content\realm-levels.json: 皮坚肉紧 → 皮堅肉緊
    packages\server\data\content\realm-levels.json: 锻骨 → 鍛骨
    packages\server\data\content\realm-levels.json: 锻骨 → 鍛骨
    packages\server\data\content\realm-levels.json: 凡阶 → 凡階
    packages\server\data\content\realm-levels.json: 骨沉如铁 → 骨沉如鐵
    packages\server\data\content\realm-levels.json: 凡阶 → 凡階
    packages\server\data\content\realm-levels.json: 筋开力长 → 筋開力長
    packages\server\data\content\realm-levels.json: 凡阶 → 凡階
    packages\server\data\content\realm-levels.json: 养气 → 養氣
    packages\server\data\content\realm-levels.json: 养气 → 養氣
    packages\server\data\content\realm-levels.json: 凡阶 → 凡階
    packages\server\data\content\realm-levels.json: 一气养周天 → 一氣養周天
    packages\server\data\content\realm-levels.json: 通脉 → 通脈
    packages\server\data\content\realm-levels.json: 通脉 → 通脈
    packages\server\data\content\realm-levels.json: 凡阶 → 凡階
    packages\server\data\content\realm-levels.json: 百脉始归流 → 百脈始歸流
    packages\server\data\content\realm-levels.json: 瑶光 → 瑤光
    packages\server\data\content\realm-levels.json: 瑶光 → 瑤光
    packages\server\data\content\realm-levels.json: 凡阶 → 凡階
    packages\server\data\content\realm-levels.json: 星火照命门 → 星火照命門
    packages\server\data\content\realm-levels.json: 开阳 → 開陽
    packages\server\data\content\realm-levels.json: 开阳 → 開陽
    packages\server\data\content\realm-levels.json: 凡阶 → 凡階
    packages\server\data\content\realm-levels.json: 开阳悬胆，锋意渐生 → 開陽懸膽，鋒意漸生
    packages\server\data\content\realm-levels.json: 凡阶 → 凡階
    packages\server\data\content\realm-levels.json: 玉衡定步，进退有章 → 玉衡定步，進退有章
    packages\server\data\content\realm-levels.json: 天权 → 天權
    packages\server\data\content\realm-levels.json: 天权 → 天權
    packages\server\data\content\realm-levels.json: 凡阶 → 凡階
    packages\server\data\content\realm-levels.json: 一念权衡定去留 → 一念權衡定去留
    packages\server\data\content\realm-levels.json: 天玑 → 天璣
    packages\server\data\content\realm-levels.json: 天玑 → 天璣
    packages\server\data\content\realm-levels.json: 凡阶 → 凡階
    packages\server\data\content\realm-levels.json: 玄机暗转藏锋处 → 玄機暗轉藏鋒處
    packages\server\data\content\realm-levels.json: 黄阶 → 黃階
    packages\server\data\content\realm-levels.json: 天璇照骨，气走八荒 → 天璇照骨，氣走八荒
    packages\server\data\content\realm-levels.json: 天枢 → 天樞
    packages\server\data\content\realm-levels.json: 天枢 → 天樞
    packages\server\data\content\realm-levels.json: 黄阶 → 黃階
    packages\server\data\content\realm-levels.json: 北斗归枢，我身为轴 → 北斗歸樞，我身為軸
    packages\server\data\content\realm-levels.json: 宗师 → 宗師
    packages\server\data\content\realm-levels.json: 宗师 → 宗師
    packages\server\data\content\realm-levels.json: 黄阶 → 黃階
    packages\server\data\content\realm-levels.json: 开宗立势，名动一方 → 開宗立勢，名動一方
    packages\server\data\content\realm-levels.json: 大宗师 → 大宗師
    packages\server\data\content\realm-levels.json: 大宗师 → 大宗師
    packages\server\data\content\realm-levels.json: 黄阶 → 黃階
    packages\server\data\content\realm-levels.json: 满堂风雨，不折其锋 → 滿堂風雨，不折其鋒
    packages\server\data\content\realm-levels.json: 临渊 → 臨淵
    packages\server\data\content\realm-levels.json: 临渊 → 臨淵
    packages\server\data\content\realm-levels.json: 黄阶 → 黃階
