key,category,zh-TW,note
inventory.action-dialog.all,背包,全部,
inventory.action-dialog.choose-count,背包,選擇數量,
inventory.action-dialog.confirm.default,背包,確認,
inventory.action-dialog.confirm.destroy,背包,繼續摧毀,
inventory.action-dialog.confirm.drop,背包,確認丟下,
inventory.action-dialog.confirm.use,背包,確認使用,
inventory.action-dialog.half,背包,一半,
inventory.action-dialog.one,背包,1 個,
inventory.action-dialog.subtitle.max-count,背包,{itemName} · 當前最多 {count} 個,
inventory.action-dialog.title.default,背包,操作物品,
inventory.action-dialog.title.destroy,背包,摧毀物品,
inventory.action-dialog.title.drop,背包,丟下物品,
inventory.action-dialog.title.use,背包,批量使用,
inventory.action.back-detail,背包,返回詳情,
inventory.action.batch-destroy,背包,批量摧毀,
inventory.action.batch-drop,背包,批量丟下,
inventory.action.batch-use,背包,批量使用,
inventory.action.confirm-use,背包,確認使用,
inventory.action.destroy,背包,摧毀,
inventory.action.drop-one,背包,丟下,
inventory.action.label.equip,背包,裝備,
inventory.action.label.formation,背包,佈陣,
inventory.action.label.learn,背包,學習,
inventory.action.label.sect-founding,背包,使用,
inventory.action.label.use,背包,使用,
inventory.action.sort,背包,一鍵整理,
inventory.destroy.back-count,背包,返回修改數量,
inventory.destroy.confirm,背包,確認摧毀,
inventory.destroy.title,背包,確認摧毀,
inventory.destroy.warning,背包,摧毀後物品會永久消失，無法找回。,
inventory.detail.current-count,背包,當前數量,
inventory.detail.desc,背包,物品說明,
inventory.detail.effects,背包,特殊效果,
inventory.detail.equip-slot,背包,裝備部位,
inventory.detail.equipment-bonuses,背包,裝備屬性,
inventory.detail.item-type,背包,物品類型,
inventory.detail.material-bonuses,背包,材料屬性,
inventory.detail.sources,背包,來源,
inventory.detail.status,背包,當前狀態,
inventory.empty.all,背包,背包空空如也,
inventory.empty.filter,背包,當前分類暫無物品,
inventory.filter.all,背包,全部,
inventory.filter.consumable,背包,消耗品,
inventory.filter.equipment,背包,裝備,
inventory.filter.material,背包,材料,
inventory.filter.quest-item,背包,任務物,
inventory.filter.skill-book,背包,功法書,
inventory.formation.action.confirm,背包,確認佈陣,
inventory.formation.action.preview-range,背包,預覽範圍,
inventory.formation.cost.qi,背包,消耗靈力,
